city,2007_pci,2008_pci,2009_pci,2010_pci,2011_pci,2012_pci,2013_pci,2014_pci,2015_pci,2016_pci,2017_pci,2018_pci,2007_eci,2008_eci,2009_eci,2010_eci,2011_eci,2012_eci,2013_eci,2014_eci,2015_eci,2016_eci,2017_eci,2018_eci,2008_x_growth_rate,2009_x_growth_rate,2010_x_growth_rate,2011_x_growth_rate,2012_x_growth_rate,2013_x_growth_rate,2014_x_growth_rate,2015_x_growth_rate,2016_x_growth_rate,2017_x_growth_rate,2018_x_growth_rate,2008_y_growth_rate,2009_y_growth_rate,2010_y_growth_rate,2011_y_growth_rate,2012_y_growth_rate,2013_y_growth_rate,2014_y_growth_rate,2015_y_growth_rate,2016_y_growth_rate,2017_y_growth_rate,2018_y_growth_rate,2008em_growth_rate,2009em_growth_rate,2010em_growth_rate,2011em_growth_rate,2012em_growth_rate,2013em_growth_rate,2014em_growth_rate,2015em_growth_rate,2016em_growth_rate,2017em_growth_rate,2018em_growth_rate,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2007_current,2008_current,2009_current,2010_current,2011_current,2012_current,2013_current,2014_current,2015_current,2016_current,2017_current,2018_current,2007_te,2008_te,2009_te,2010_te,2011_te,2012_te,2013_te,2014_te,2015_te,2016_te,2017_te,2018_te
London,-3960.410976,-4385.229375,-4376.786284,-4526.223127,-3986.572763,-4662.608987,-4670.140838,-5086.575396,-4815.713978,-5164.630084,-4527.318268,-4972.567459,4.900266485,5.234974524,5.086951449,5.28875171,5.191767426,5.275251288,5.082481412,4.792137529,5.007489792,5.053278728,4.605450728,4.853626726,10.72662412,-0.192534769,3.414305238,-11.92275213,16.95782979,0.161537273,8.916959303,-5.325025129,7.245366061,-12.33993153,9.834722562,6.830404832,-2.827579648,3.967017632,-1.833784037,1.608004663,-3.654231156,-5.712640328,4.493866496,0.914408974,-8.862127425,5.388745043,1.662380359,-0.494148212,1.635829241,2.660397469,2.907835606,2.94434558,-0.424091466,3.473401807,2.695789965,2.156895385,0.766806602,11.8,1.3,-5.2,0.5,2.6,2,6.2,0.1,1.9,4.4,2,5,"48,051","46,673","49,549","50,041","51,545","51,612","56,616","58,365","59,425","64,007","67,124","71,696",3960285,4026120,4006225,4071760,4180085,4301635,4428290,4409510,4562670,4685670,4786735,4823440
Leeds,-4342.551913,-4793.9484,-4783.211597,-5006.434268,-4399.527932,-5097.862302,-5115.139816,-5524.742494,-5205.793781,-5667.821738,-4925.493498,-5379.775386,1.999019466,1.56280436,0.995140734,1.589658561,1.923546572,2.177011544,2.258681458,2.249259386,2.739383755,2.110563816,2.158686825,2.748935755,10.39472864,-0.223965759,4.666794819,-12.12252679,15.87293866,0.338916828,8.007653615,-5.773096461,8.875264305,-13.09724042,9.223073542,-21.82145362,-36.32339664,59.74208538,21.00375636,13.1769605,3.751469042,-0.417149228,21.7904779,-22.95479551,2.280102052,27.34296256,2.1260618,-4.94714129,-0.781200462,0.936896865,-0.495124731,2.517211978,-2.467817818,4.349043516,1.668577562,3.462341339,3.752319109,2,-3,-5.6,2.7,3.3,0.4,0.3,0.9,3.6,0.2,0.5,4.5,"22,388","22,122","21,901","22,220","23,062","23,394","23,920","24,629","25,795","26,400","27,034","28,805",406150,414785,394265,391185,394850,392895,402785,392845,409930,416770,431200,447380
Edinburgh,-4225.658877,-4646.393053,-4628.081957,-4824.965852,-4224.159572,-5000.797221,-5022.234115,-5413.653139,-5134.657218,-5548.847605,-4836.316473,-5278.363777,2.037292269,1.845522673,1.56874114,1.735030362,1.880972558,1.890014263,1.543897959,1.858711743,1.743077509,1.535318167,1.586219699,1.682587829,9.956652639,-0.394092719,4.254114283,-12.45203175,18.38561342,0.42866953,7.793723166,-5.153561071,8.066563529,-12.84106507,9.14016497,-9.412964365,-14.99746045,10.60016965,8.411506727,0.480693097,-18.31289376,20.39084135,-6.221203162,-11.91911095,3.315373526,6.075333096,0.508275469,0.454787419,-3.823424378,3.41725757,0.984468561,-1.422165132,0.767879373,0.230917551,1.201460644,1.716484167,3.932320226,0.9,-0.5,-1.5,-1.1,0.2,3.3,2.6,0.3,4.5,4.6,3.3,3.7,"18,417","18,246","18,775","18,349","18,731","19,787","20,726","21,537","22,084","23,886","25,162","26,560",429885,432070,434035,417440,431705,435955,429755,433055,434055,439270,446810,464380
Greater Manchester,-4416.259561,-4891.436348,-4867.818165,-5064.114788,-4502.419292,-5265.26951,-5251.348542,-5701.664489,-5401.131876,-5799.826861,-5063.700465,-5570.67416,0.526622804,0.767108641,1.239329606,1.009041906,1.179044457,1.031906246,1.904254154,0.788672534,1.055640989,1.262378482,1.734036135,1.316337863,10.75971148,-0.482847584,4.032538102,-11.09168175,16.9431181,-0.264392314,8.575243942,-5.270962782,7.381693197,-12.69221329,10.01192109,45.66567097,61.55855115,-18.58163467,16.8479178,-12.47944555,84.53751605,-58.58365164,33.85035531,19.5840721,37.36261828,-24.08821034,-0.556174491,0.097646033,-0.469463122,-1.357275997,1.21981512,1.90232872,-2.737222354,1.654507671,4.756167577,3.328254037,1.543017644,-0.3,-2,-4.1,4.3,3.5,1.6,0.4,5.1,-1.8,-2.5,4.1,3.3,"16,376","16,635","17,077","17,586","17,879","18,649","18,772","19,639","20,570","22,095","23,722","24,523",1153415,1147000,1148120,1142730,1127220,1140970,1162675,1130850,1149560,1204235,1244315,1263515
Glasgow,-4349.178185,-4817.110035,-4767.193156,-5020.711947,-4457.729334,-5228.365961,-5253.062818,-5674.687636,-5379.188323,-5838.327139,-5042.854891,-5547.621518,1.572725533,1.594910951,1.604677117,0.768558342,1.377017814,1.124657956,0.680029625,0.731108483,0.363582823,0.822121574,1.01439445,0.865250048,10.75908666,-1.036241201,5.317988664,-11.21320282,17.2876496,0.472362816,8.026266444,-5.207322983,8.535466472,-13.625003,10.009541,1.410635095,0.612333015,-52.10510991,79.16893745,-18.32655001,-39.53453834,7.511269486,-50.26964787,126.1167254,23.38740194,-14.7028015,0.898853374,-1.317448273,-4.097745271,-1.051794237,-2.06724941,2.054205486,0.067031403,2.109755786,1.185842367,-1.142306719,1.658307465,0.5,0.6,-4.7,-0.8,3.3,1.3,2.4,-0.1,0.3,0.9,1.2,2.1,"17,730","18,190","17,926","17,529","18,244","18,778","19,602","20,045","20,275","20,941","21,658","22,510",829390,836845,825820,791980,783650,767450,783215,783740,800275,809765,800515,813790
Bristol,-4252.566994,-4698.606834,-4715.872807,-4872.576832,-4314.955927,-5084.65007,-5136.681067,-5513.199981,-5256.867947,-5703.101544,-4892.040473,-5402.823829,1.140847232,1.09867161,0.895334499,1.13347856,1.150130248,0.655290264,0.680093885,0.959186811,1.08912795,0.465702406,1.577927813,0.888574731,10.48871988,0.367470059,3.322906093,-11.44406592,17.83782166,1.023295525,7.330003737,-4.649423831,8.48858295,-14.22140328,10.44111059,-3.69686845,-18.50754212,26.59833398,1.469078366,-43.02469092,3.785135072,41.03741136,13.54701062,-57.24079931,238.8274987,-43.68723817,0.639033571,2.226764668,0.129759626,-2.220050562,-0.708295311,1.969365427,3.332618026,2.278155047,1.811167513,3.013441825,0.474319013,4.8,0.9,-1.7,2.9,0.8,1.5,0.9,4.6,-1.7,3.9,4.6,-3,"11,499","11,935","12,320","12,650","12,791","13,060","13,362","14,250","14,268","15,139","16,174","15,950",228470,229930,235050,235355,230130,228500,233000,240765,246250,250710,258265,259490
Liverpool,-4412.300818,-4921.555642,-4890.225519,-5115.50411,-4554.720231,-5317.630076,-5352.460618,-5810.013709,-5504.455306,-5962.793525,-5151.622325,-5701.552563,0.675983634,0.070970186,0.206090556,0.22057775,-0.074830018,0.404382794,0.254020011,0.004658773,-0.002421356,-0.226733088,0.337776608,-0.025964969,11.5417068,-0.636589838,4.606711689,-10.96243629,16.74987279,0.65500122,8.548462552,-5.259168369,8.326677087,-13.60387872,10.67489431,-89.50119756,190.3903266,7.029528357,-133.9245539,-640.4018418,-37.18327893,-98.16598208,-151.9741111,9263.890533,-248.9754365,-107.687024,-0.709439487,-0.378046821,-1.354748736,1.144461862,-0.920423319,-0.195775472,-1.015413906,0.82085855,3.72497254,1.101698064,0.061559382,-2.7,-0.1,2.3,-1.1,-0.6,-2.9,0.1,3,1.6,-0.7,0.1,2.5,"11,368","11,725","12,281","12,257","12,504","12,351","12,575","13,287","13,595","13,911","14,255","14,850",532815,529035,527035,519895,525845,521005,519985,514705,518930,538260,544190,544525
Sheffield,-4424.315472,-4875.976016,-4886.25215,-5120.747778,-4542.618338,-5277.076456,-5314.644282,-5714.492707,-5417.27642,-5883.938905,-5074.747519,-5603.127712,-0.583464903,-0.340187537,-0.820756437,-0.904893094,-0.000435655,0.216263535,0.116705436,0.160457577,-0.275241757,-0.51367134,-0.278573444,0.552253124,10.20859718,0.210750291,4.799089792,-11.28994172,16.16816698,0.711906042,7.523521865,-5.201096622,8.614337717,-13.75254569,10.41195037,-41.695287,141.2658748,10.25111141,-99.95185561,-49740.97984,-46.03554609,37.48937753,-271.535531,86.62551279,-45.76815515,-298.2432767,-0.217484971,-0.479098554,-2.159090909,-1.125541126,0.576652001,0.707126476,0.014760148,0.295159386,1.393676953,2.688918835,1.047807478,3.4,-5,-3.8,3.2,3.5,0.9,1.6,-0.5,0.8,1.1,1.4,0,"11,440","11,216","11,189","11,554","12,035","12,238","12,644","12,843","13,153","13,569","14,085","14,334",243695,243165,242000,236775,234110,235460,237125,237160,237860,241175,247660,250255
Cardiff,-4438.598811,-4936.808156,-4898.83943,-5129.324091,-4564.314382,-5371.622179,-5382.338594,-5783.55011,-5526.471065,-6003.899017,-5106.479036,-5675.758965,1.084821517,0.994979626,1.522081506,0.839977857,0.811651485,0.212564329,0.591749915,0.665044384,0.503883117,0.240733975,1.248231716,0.770138255,11.22447345,-0.769094618,4.70488295,-11.01528582,17.68738368,0.199500538,7.454222904,-4.445004195,8.638929738,-14.94728641,11.14818892,-8.28172097,52.97614805,-44.8138714,-3.372276124,-73.81088647,178.3862741,12.38605481,-24.23315957,-52.22424265,418.5108228,-38.30165946,-1.252437271,-0.416528544,-0.147624975,0.620361781,-0.131086142,1.89819556,-2.508316229,1.54922829,3.691735774,0.66738369,1.151960113,3.7,-3.2,-2.7,2.1,4.6,0.6,1.5,1,4.4,3.6,2.8,1,"9,272","9,161","9,189","9,230","9,751","10,089","10,439","10,907","11,278","12,023","12,603","12,974",351315,346915,345470,344960,347100,346645,353225,344365,349700,362610,365030,369235
Greater Nottingham,-4364.6867,-4881.183718,-4835.542103,-5082.116965,-4505.273044,-5272.780716,-5254.105479,-5674.97279,-5369.283338,-5802.206193,-5084.666088,-5562.629817,1.112642535,0.755228989,0.61369492,1.127304874,0.638926907,1.098555978,1.396457475,1.292957482,0.788641499,0.614165062,0.85385525,0.660592343,11.83354163,-0.93505217,5.099218586,-11.35046527,17.03576376,-0.354181948,8.010256229,-5.386624105,8.062954178,-12.36667711,9.400100633,-32.12294466,-18.74055039,83.69141371,-43.32261645,71.93766082,27.11755269,-7.411610815,-39.00483887,-22.12366929,39.02699824,-22.63415339,0.215625924,4.339678298,-1.353688552,-1.205367679,2.781427572,1.700064749,-3.000473415,2.509298373,2.856673781,-6.568236233,-0.066626804,0.1,-2.1,-4.1,1.9,3.3,1.7,7.7,0.1,0.5,-0.1,3.2,3.1,"8,475","8,898","8,694","8,990","9,427","9,770","10,098","10,763","10,986","10,715","11,273","11,413",287535,288155,300660,296590,293015,301165,306285,297095,304550,313250,292675,292480
