LA name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Hartlepool,"1,349","1,428","1,403","1,456","1,508","1,496","1,535","1,557","1,636","1,731","1,728","1,732"
Middlesbrough,"2,564","2,646","2,666","2,669","2,733","2,842","2,728","2,762","2,894","3,112","3,215","3,388"
Redcar and Cleveland,"2,256","2,339","2,316","2,620","2,667","2,792","2,808","2,544","2,061","2,005","2,061","2,159"
Stockton-on-Tees,"4,518","4,681","4,845","4,788","4,817","4,732","4,847","5,448","6,121","6,126","6,040","5,885"
Darlington,"2,336","2,407","2,297","2,450","2,522","2,547","2,771","2,937","3,090","2,916","3,223","3,076"
County Durham,"8,068","8,380","8,401","8,568","8,542","8,915","9,047","9,052","9,264","9,373","9,693","10,046"
Northumberland,"5,109","5,244","5,124","5,277","5,325","5,433","5,546","5,657","5,888","6,147","6,167","6,078"
Newcastle upon Tyne,"7,419","7,434","7,349","7,608","8,024","8,382","8,278","8,513","9,061","9,451","9,750","9,881"
North Tyneside,"3,638","3,777","3,631","3,813","3,922","3,929","3,976","4,059","4,078","4,283","4,794","5,129"
South Tyneside,"2,007","1,969","1,871","1,915","2,076","2,156","2,094","2,251","2,318","2,181","2,141","2,194"
Sunderland,"5,646","5,820","5,835","5,820","5,960","6,044","6,813","7,169","7,345","7,453","7,616","8,221"
Gateshead,"4,564","4,594","4,382","4,441","4,753","4,706","4,378","4,505","4,458","4,731","4,559","4,854"
Blackburn with Darwen,"2,432","2,491","2,445","2,555","2,608","2,684","2,820","2,937","3,231","3,338","3,554","3,509"
Blackpool,"2,480","2,277","2,198","2,318","2,338","2,338","2,435","2,519","2,662","2,844","3,044","3,182"
Warrington,"5,990","6,111","5,550","5,812","6,011","6,201","6,587","7,008","7,490","7,571","8,061","8,145"
Cheshire East,"10,466","10,548","10,076","10,499","10,904","11,855","12,378","13,419","13,274","14,450","14,937","15,853"
Cheshire West and Chester,"9,992","10,238","10,774","11,451","10,347","11,038","11,658","11,940","11,669","12,407","13,093","13,428"
Halton,"3,357","3,435","3,491","3,658","3,727","3,661","3,785","4,003","4,052","4,111","4,309","4,757"
Allerdale,"1,626","1,721","1,707","1,856","1,856","1,863","2,017","2,107","2,120","1,997","2,010","2,062"
Barrow-in-Furness,"1,179","1,309","1,295","1,345","1,426","1,514","1,554","1,571","1,692","1,727","1,808","1,848"
Carlisle,"2,362","2,465","2,438","2,513","2,519","2,530","2,749","2,872","2,978","3,034","3,069","3,093"
Copeland,"1,376","1,565","1,471","1,537","1,553","1,525","1,634","1,735","1,796","1,726","1,753","1,825"
Eden,"1,221","1,263","1,213","1,242","1,242","1,279","1,354","1,385","1,462","1,452","1,490","1,544"
South Lakeland,"2,254","2,385","2,461","2,538","2,605","2,712","2,673","2,485","3,248","3,331","3,755","3,656"
Burnley,"1,680","1,675","1,557","1,670","1,752","1,881","1,924","2,168","2,139","2,211","2,357","2,546"
Chorley,"1,640","1,657","1,607","1,695","1,738","1,827","1,864","1,903","2,073","2,186","2,225","2,343"
Fylde,"2,111","2,204","2,134","2,159","2,144","2,433","2,206","1,938","2,016","2,184","2,445","2,325"
Hyndburn,"1,329","1,363","1,287","1,331","1,436","1,454","1,551","1,583","1,700","1,829","1,793","1,706"
Lancaster,"2,759","2,790","2,482","2,513","2,609","2,716","3,041","3,113","3,093","3,095","3,092","3,172"
Pendle,"2,477","2,368","2,003","1,974","2,121","2,026","2,161","2,140","2,461","2,484","2,344","2,517"
Preston,"3,648","3,552","3,516","3,705","4,203","4,077","3,933","4,098","4,347","4,818","4,696","4,969"
Ribble Valley,"1,141","1,200","1,190","1,208","1,258","1,316","1,454","1,545","1,590","1,519","1,698","1,729"
Rossendale,915,945,911,957,"1,023","1,025","1,127","1,150","1,227","1,265","1,285","1,272"
South Ribble,"3,326","3,419","3,264","3,331","3,447","3,689","3,816","4,370","4,597","4,864","4,863","5,090"
West Lancashire,"2,077","2,107","2,066","2,151","2,223","2,275","2,254","2,278","2,432","2,665","2,738","2,814"
